"rawText","predictedLabel"
"b'1. Preotii siv\xc3\xa9rgesc toate cele sapte Sfinte Taine. A F  2. Doar episcopii Hirotoniel. A F  3. Taina Mirungerii se mai numeste 5i Pecetea Harului Duhului A F  n Taina Mirungerii se savargeste seprat de Taina Botezului In A F  5. Sfnta Imp\xc3\xa9irtsanie se cu pdine si cu apd. A F  6. Sfonta Imp\xc3\xa9irtsanie se mai numeste'","text"
"b'(Eecleziastul V,10) -'","text"
"b'( Pilde XXIV,)'","text"
"b'51'","text"
"b'Telefonul crestinese Are numdrul ceresc:  Om si Dumnezeu vorbesc.'","text"
"b'1. Cine e mereu chemat, Cand este de botezat,  Cand este de cununat Sau chiar de inmormantat?'","text"
"b'II Ghici'","titlu"
"b'sunt'","text"
"b'urmasii'","text"
"b'si'","text"
"b'diaconii'","text"
"b'A 10.piscopil,     Apostolilor.'","text"
"b'F preotii'","text"
"b'Dumnezeu.'","text"
"b'8. Spovedania inseamn\xc3\xa9 m\xc3\xa9rturisirea pacatelor. A F  9. Sfintele Taine impdrtasesc oamenilor  Harul Tui Dumnezeu.'","text"
"b'cu'","text"
"b'A F 7. Taina Poctintei este acelagi lucru     Taina Sfontului Maslu.'","text"
"b'si Taina Sfintei Euharistil'","text"
"b'52'","text"
"b'sunt'","text"
"b'PROVERBELE BIBLIBE: 1. Ochii Domnului     pretutindeni.'","text"
"b'RASPUNSURL:'","titlu"
"b'6. Raiul cu ea se descuie, Dumnezeu pe ea se sue,  Lemnul ef, El il sfinteste $i pe noi ne mantuieste.'","text"
"b'5. El este al nostru Domn, Care S-a ficut 5i Om,     Pentru c-am muscat din pom.'","text"
"b'4. E palat sau ce e oare? C\xc3\xa9 o vezi din depirtare,  Te cheami la inchinare, Fara ea nu ai scpare.'","text"
"b'3. Cartea Cartilor se cheamd. Unii nu 0 fau in seama,  Altii o rastlmdcese, nsa sfintii 0 cinstesc.'","text"
"b's'","text"
"b'Fiul'","text"
"b'HHL.'","text"
"b'TF;'","text"
"b'4.F; 5.F;'","text"
"b'IL.'","text"
"b'6.A;'","text"
"b'3.A; 10.A.'","text"
"b'1.F; 2A 8.A; 9.A; 1. Preotul. 2.Rugdciunea.  3.Biblia sau Sfanta Scriptura 4.Biserica  5.Domnul nostru lisus Hristos, lui Dumnezeu.  6.Crucea.'","text"
"b'groapa'","text"
"b'cade'","text"
"b'altuia'","text"
"b'Cine. sapa  singur in ea. Nu. dupa nebunia lui, ca si nu te asemeni  cu el. Cand - se - inmultese - averile sporese i cei ce le minanei.'","text"
